Id,Designator,Package,Quantity,Designation
1,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.5k
2,J2,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B
3,J3,BarrelJack_CUI_PJ-102AH_Horizontal,1,Barrel_Jack_Switch
4,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2k
5,D1,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007
6,"C2,C1",C_Radial_D6.3mm_H11.0mm_P2.50mm,2,22uF
7,J6,PinHeader_2x03_P2.54mm_Vertical,1,3
8,SW1,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,1,SW_DIP_x03
9,"DS1,DS2",LED_D3.0mm,2,LED
10,J1,PinHeader_1x02_P2.54mm_Vertical,1,9V Battery
11,U2,SOT-223-3_TabPin2,1,AMS1117-3.3
12,U1,SOT-223-3_TabPin2,1,AMS1117-5.0
13,J4,PinHeader_2x02_P2.54mm_Vertical,1,1
14,J5,PinHeader_2x02_P2.54mm_Vertical,1,2
,,,,
,,Total number of components,16,
